IP:PORT, LOSS, DELAY
162.159.193.240:890,100.00%,1000 ms
162.159.193.84:1014,100.00%,1000 ms
162.159.193.142:1014,100.00%,1000 ms
162.159.193.73:890,100.00%,1000 ms
162.159.193.226:890,100.00%,1000 ms
162.159.193.232:890,100.00%,1000 ms
162.159.204.163:890,100.00%,1000 ms
162.159.193.60:890,100.00%,1000 ms
162.159.193.146:890,100.00%,1000 ms
162.159.204.244:890,100.00%,1000 ms
162.159.193.28:890,100.00%,1000 ms
162.159.193.243:890,100.00%,1000 ms
162.159.193.157:890,100.00%,1000 ms
162.159.193.75:890,100.00%,1000 ms
162.159.193.234:890,100.00%,1000 ms
162.159.193.52:1014,100.00%,1000 ms
162.159.193.247:1014,100.00%,1000 ms
162.159.193.64:890,100.00%,1000 ms
162.159.204.169:890,100.00%,1000 ms
162.159.204.113:1014,100.00%,1000 ms
162.159.193.176:890,100.00%,1000 ms
162.159.204.10:1014,100.00%,1000 ms
162.159.193.103:890,100.00%,1000 ms
162.159.204.14:1014,100.00%,1000 ms
162.159.204.117:890,100.00%,1000 ms
162.159.193.6:890,100.00%,1000 ms
162.159.204.225:1014,100.00%,1000 ms
162.159.204.49:1014,100.00%,1000 ms
162.159.204.23:1014,100.00%,1000 ms
162.159.204.62:890,100.00%,1000 ms
162.159.193.228:890,100.00%,1000 ms
162.159.193.23:1014,100.00%,1000 ms
162.159.204.59:1014,100.00%,1000 ms
162.159.204.171:890,100.00%,1000 ms
162.159.204.215:1014,100.00%,1000 ms
162.159.204.154:1014,100.00%,1000 ms
162.159.204.165:1014,100.00%,1000 ms
162.159.204.143:1014,100.00%,1000 ms
162.159.193.26:1014,100.00%,1000 ms
162.159.204.255:1014,100.00%,1000 ms
162.159.192.9:890,100.00%,1000 ms
162.159.204.229:1014,100.00%,1000 ms
162.159.204.182:1014,100.00%,1000 ms
162.159.204.178:1014,100.00%,1000 ms
162.159.193.2:890,100.00%,1000 ms
162.159.193.38:890,100.00%,1000 ms
162.159.204.103:1014,100.00%,1000 ms
162.159.193.161:1014,100.00%,1000 ms
162.159.204.146:1014,100.00%,1000 ms
162.159.193.165:1014,100.00%,1000 ms
162.159.204.77:1014,100.00%,1000 ms
162.159.193.189:890,100.00%,1000 ms
162.159.204.19:1014,100.00%,1000 ms
162.159.204.74:890,100.00%,1000 ms
162.159.204.66:1014,100.00%,1000 ms
162.159.193.124:1014,100.00%,1000 ms
162.159.204.163:1014,100.00%,1000 ms
162.159.204.16:890,100.00%,1000 ms
162.159.193.6:1014,100.00%,1000 ms
162.159.193.81:1014,100.00%,1000 ms
162.159.193.208:1014,100.00%,1000 ms
162.159.204.233:890,100.00%,1000 ms
162.159.193.110:890,100.00%,1000 ms
162.159.195.255:1014,100.00%,1000 ms
162.159.204.146:890,100.00%,1000 ms
162.159.193.23:890,100.00%,1000 ms
162.159.204.10:890,100.00%,1000 ms
162.159.204.66:890,100.00%,1000 ms
162.159.193.232:1014,100.00%,1000 ms
162.159.204.214:1014,100.00%,1000 ms
162.159.204.167:890,100.00%,1000 ms
162.159.204.221:1014,100.00%,1000 ms
162.159.204.59:890,100.00%,1000 ms
162.159.204.247:1014,100.00%,1000 ms
162.159.193.26:890,100.00%,1000 ms
162.159.204.193:890,100.00%,1000 ms
162.159.193.110:1014,100.00%,1000 ms
162.159.193.125:1014,100.00%,1000 ms
162.159.204.81:1014,100.00%,1000 ms
162.159.204.244:1014,100.00%,1000 ms
162.159.204.225:890,100.00%,1000 ms
162.159.204.120:890,100.00%,1000 ms
162.159.204.103:890,100.00%,1000 ms
162.159.204.70:890,100.00%,1000 ms
162.159.204.204:1014,100.00%,1000 ms
162.159.204.64:1014,100.00%,1000 ms
162.159.193.179:1014,100.00%,1000 ms
162.159.204.42:1014,100.00%,1000 ms
162.159.193.81:890,100.00%,1000 ms
162.159.204.16:1014,100.00%,1000 ms
162.159.204.49:890,100.00%,1000 ms
162.159.204.221:890,100.00%,1000 ms
162.159.193.193:890,100.00%,1000 ms
162.159.204.118:1014,100.00%,1000 ms
162.159.193.124:890,100.00%,1000 ms
162.159.193.38:1014,100.00%,1000 ms
162.159.193.88:1014,100.00%,1000 ms
162.159.193.77:890,100.00%,1000 ms
162.159.204.197:890,100.00%,1000 ms
162.159.204.218:1014,100.00%,1000 ms
162.159.193.129:1014,100.00%,1000 ms
162.159.204.128:890,100.00%,1000 ms
162.159.204.62:1014,100.00%,1000 ms
162.159.204.175:890,100.00%,1000 ms
162.159.204.8:890,100.00%,1000 ms
162.159.204.19:890,100.00%,1000 ms
162.159.193.78:1014,100.00%,1000 ms
162.159.204.31:1014,100.00%,1000 ms
162.159.204.219:890,100.00%,1000 ms
162.159.204.114:1014,100.00%,1000 ms
162.159.204.215:890,100.00%,1000 ms
162.159.204.197:1014,100.00%,1000 ms
162.159.193.226:1014,100.00%,1000 ms
162.159.204.60:1014,100.00%,1000 ms
162.159.193.215:1014,100.00%,1000 ms
162.159.204.201:1014,100.00%,1000 ms
162.159.204.45:890,100.00%,1000 ms
162.159.193.28:1014,100.00%,1000 ms
162.159.204.201:890,100.00%,1000 ms
162.159.204.171:1014,100.00%,1000 ms
162.159.204.165:890,100.00%,1000 ms
162.159.204.204:890,100.00%,1000 ms
162.159.193.178:1014,100.00%,1000 ms
162.159.204.23:890,100.00%,1000 ms
162.159.204.74:1014,100.00%,1000 ms
162.159.193.24:890,100.00%,1000 ms
162.159.193.182:1014,100.00%,1000 ms
162.159.193.161:890,100.00%,1000 ms
162.159.193.92:890,100.00%,1000 ms
162.159.193.34:890,100.00%,1000 ms
162.159.204.132:890,100.00%,1000 ms
162.159.204.251:1014,100.00%,1000 ms
162.159.193.176:1014,100.00%,1000 ms
162.159.204.100:890,100.00%,1000 ms
162.159.204.193:1014,100.00%,1000 ms
162.159.204.114:890,100.00%,1000 ms
162.159.193.92:1014,100.00%,1000 ms
162.159.204.178:890,100.00%,1000 ms
162.159.204.60:890,100.00%,1000 ms
162.159.204.218:890,100.00%,1000 ms
162.159.204.111:1014,100.00%,1000 ms
162.159.193.20:1014,100.00%,1000 ms
162.159.193.56:1014,100.00%,1000 ms
162.159.204.45:1014,100.00%,1000 ms
162.159.204.219:1014,100.00%,1000 ms
162.159.204.169:1014,100.00%,1000 ms
162.159.204.120:1014,100.00%,1000 ms
162.159.204.251:890,100.00%,1000 ms
162.159.204.14:890,100.00%,1000 ms
162.159.195.255:890,100.00%,1000 ms
162.159.204.64:890,100.00%,1000 ms
162.159.204.111:890,100.00%,1000 ms
162.159.204.124:890,100.00%,1000 ms
162.159.204.214:890,100.00%,1000 ms
162.159.204.12:1014,100.00%,1000 ms
162.159.204.113:890,100.00%,1000 ms
162.159.193.240:1014,100.00%,1000 ms
162.159.204.229:890,100.00%,1000 ms
162.159.193.215:890,100.00%,1000 ms
162.159.204.175:1014,100.00%,1000 ms
162.159.193.13:1014,100.00%,1000 ms
162.159.204.31:890,100.00%,1000 ms
162.159.204.236:890,100.00%,1000 ms
162.159.204.167:1014,100.00%,1000 ms
162.159.193.52:890,100.00%,1000 ms
162.159.204.77:890,100.00%,1000 ms
162.159.204.8:1014,100.00%,1000 ms
162.159.193.64:1014,100.00%,1000 ms
162.159.204.247:890,100.00%,1000 ms
162.159.204.128:1014,100.00%,1000 ms
162.159.193.197:890,100.00%,1000 ms
162.159.193.228:1014,100.00%,1000 ms
162.159.204.27:1014,100.00%,1000 ms
162.159.204.255:890,100.00%,1000 ms
162.159.204.42:890,100.00%,1000 ms
162.159.204.70:1014,100.00%,1000 ms
162.159.204.150:890,100.00%,1000 ms
162.159.204.236:1014,100.00%,1000 ms
162.159.204.132:1014,100.00%,1000 ms
162.159.204.12:890,100.00%,1000 ms
162.159.204.92:1014,100.00%,1000 ms
162.159.204.92:890,100.00%,1000 ms
162.159.204.96:968,100.00%,1000 ms
188.114.96.12:2408,100.00%,1000 ms
188.114.96.12:968,100.00%,1000 ms
188.114.96.20:2408,100.00%,1000 ms
188.114.96.20:968,100.00%,1000 ms
188.114.96.3:968,100.00%,1000 ms
188.114.96.3:2408,100.00%,1000 ms
188.114.96.5:2408,100.00%,1000 ms
188.114.96.5:968,100.00%,1000 ms
188.114.96.9:968,100.00%,1000 ms
188.114.96.9:2408,100.00%,1000 ms
188.114.97.3:2408,100.00%,1000 ms
188.114.97.3:968,100.00%,1000 ms
188.114.98.42:500,100.00%,1000 ms
188.114.98.42:859,100.00%,1000 ms
188.114.99.37:859,100.00%,1000 ms
188.114.99.37:500,100.00%,1000 ms
